Table S3. Weighted sum activation thresholds.,,,
Diameter,Pulse Duration,Ve,MDF Output
====================================,,,
4,0.02,0,27433
4,0.02,25,30185
4,0.02,50,32936
4,0.02,75,35301
4,0.02,100,37204
4,0.02,125,38784
4,0.02,150,39935
4,0.02,175,40813
4,0.02,200,41298
4,0.02,225,41862
4,0.02,250,41950
4,0.02,275,42448
4,0.02,300,42173
4,0.02,325,42565
4,0.02,350,42209
4,0.02,375,42179
4,0.02,400,42588
4,0.02,425,42244
4,0.02,450,42419
4,0.02,475,41790
4,0.02,500,41758
4,0.05,0,13235
4,0.05,25,19209
4,0.05,50,24283
4,0.05,75,27691
4,0.05,100,30010
4,0.05,125,31584
4,0.05,150,32467
4,0.05,175,33336
4,0.05,200,34145
4,0.05,225,34350
4,0.05,250,35040
4,0.05,275,35415
4,0.05,300,35490
4,0.05,325,35283
4,0.05,350,36320
4,0.05,375,35712
4,0.05,400,36560
4,0.05,425,35588
4,0.05,450,36280
4,0.05,475,36933
4,0.05,500,37549
4,0.1,0,7980.6
4,0.1,25,15144
4,0.1,50,19643
4,0.1,75,22136
4,0.1,100,23649
4,0.1,125,25264
4,0.1,150,25680
4,0.1,175,26375
4,0.1,200,26432
4,0.1,225,27883
4,0.1,250,29204
4,0.1,275,28107
4,0.1,300,29090
4,0.1,325,29996
4,0.1,350,30835
4,0.1,375,28590
4,0.1,400,29208
4,0.1,425,29784
4,0.1,450,30323
4,0.1,475,30829
4,0.1,500,31307
4,0.2,0,5499.6
4,0.2,25,12393
4,0.2,50,15299
4,0.2,75,17029
4,0.2,100,19017
4,0.2,125,19861
4,0.2,150,19548
4,0.2,175,21036
4,0.2,200,22360
4,0.2,225,23552
4,0.2,250,24627
4,0.2,275,25607
4,0.2,300,26505
4,0.2,325,22694
4,0.2,350,23246
4,0.2,375,23761
4,0.2,400,24224
4,0.2,425,24663
4,0.2,450,25065
4,0.2,475,25443
4,0.2,500,25791
4,0.5,0,4298.4
4,0.5,25,9447.6
4,0.5,50,11664
4,0.5,75,13573
4,0.5,100,16092
4,0.5,125,15049
4,0.5,150,16422
4,0.5,175,17620
4,0.5,200,18645
4,0.5,225,19562
4,0.5,250,20365
4,0.5,275,21093
4,0.5,300,21732
4,0.5,325,22328
4,0.5,350,22854
4,0.5,375,23345
4,0.5,400,23802
4,0.5,425,24199
4,0.5,450,24584
4,0.5,475,24932
4,0.5,500,25260
4,1,0,4025
4,1,25,8272.3
4,1,50,10780
4,1,75,11883
4,1,100,13974
4,1,125,15723
4,1,150,17208
4,1,175,18509
4,1,200,19625
4,1,225,20625
4,1,250,21502
4,1,275,22298
4,1,300,22998
4,1,325,14292
4,1,350,14518
4,1,375,14718
4,1,400,14901
4,1,425,15068
4,1,450,15210
4,1,475,15350
4,1,500,15465
4,2,0,4022.7
4,2,25,7389.1
4,2,50,9357.6
4,2,75,11956
4,2,100,14070
4,2,125,10845
4,2,150,11613
4,2,175,12231
4,2,200,12748
4,2,225,13183
4,2,250,13568
4,2,275,13893
4,2,300,14184
4,2,325,14433
4,2,350,14662
4,2,375,14864
4,2,400,15050
4,2,425,15219
4,2,450,15364
4,2,475,15505
4,2,500,15622
6,0.02,0,20331
6,0.02,25,21771
6,0.02,50,23093
6,0.02,75,24359
6,0.02,100,25510
6,0.02,125,26314
6,0.02,150,26916
6,0.02,175,27401
6,0.02,200,27880
6,0.02,225,28047
6,0.02,250,28144
6,0.02,275,28242
6,0.02,300,28412
6,0.02,325,28424
6,0.02,350,28286
6,0.02,375,28339
6,0.02,400,28293
6,0.02,425,28153
6,0.02,450,28309
6,0.02,475,28013
6,0.02,500,28053
6,0.05,0,10099
6,0.05,25,13592
6,0.05,50,16625
6,0.05,75,18724
6,0.05,100,20361
6,0.05,125,21246
6,0.05,150,21966
6,0.05,175,22313
6,0.05,200,22958
6,0.05,225,23265
6,0.05,250,23250
6,0.05,275,23584
6,0.05,300,23752
6,0.05,325,23764
6,0.05,350,23629
6,0.05,375,24231
6,0.05,400,23886
6,0.05,425,24383
6,0.05,450,23854
6,0.05,475,24265
6,0.05,500,23568
6,0.1,0,6194.9
6,0.1,25,10475
6,0.1,50,13268
6,0.1,75,14932
6,0.1,100,15768
6,0.1,125,16417
6,0.1,150,17452
6,0.1,175,17307
6,0.1,200,17484
6,0.1,225,18411
6,0.1,250,18093
6,0.1,275,18791
6,0.1,300,19430
6,0.1,325,18567
6,0.1,350,19050
6,0.1,375,19498
6,0.1,400,19917
6,0.1,425,20305
6,0.1,450,20670
6,0.1,475,19116
6,0.1,500,19390
6,0.2,0,4218.7
6,0.2,25,8494.7
6,0.2,50,10425
6,0.2,75,11450
6,0.2,100,12135
6,0.2,125,12691
6,0.2,150,13891
6,0.2,175,13535
6,0.2,200,14344
6,0.2,225,15069
6,0.2,250,15723
6,0.2,275,14172
6,0.2,300,14606
6,0.2,325,15001
6,0.2,350,15364
6,0.2,375,15701
6,0.2,400,16011
6,0.2,425,16297
6,0.2,450,16566
6,0.2,475,16817
6,0.2,500,17052
6,0.5,0,3279.1
6,0.5,25,6677.7
6,0.5,50,7556
6,0.5,75,8795.4
6,0.5,100,9013.3
6,0.5,125,10078
6,0.5,150,10990
6,0.5,175,11788
6,0.5,200,12493
6,0.5,225,10185
6,0.5,250,10548
6,0.5,275,10876
6,0.5,300,11163
6,0.5,325,11429
6,0.5,350,11664
6,0.5,375,11881
6,0.5,400,12083
6,0.5,425,12259
6,0.5,450,12429
6,0.5,475,12582
6,0.5,500,12726
6,1,0,3069.2
6,1,25,5854.1
6,1,50,6245.3
6,1,75,7875.9
6,1,100,7514.4
6,1,125,8329.6
6,1,150,9011.4
6,1,175,9600.7
6,1,200,10103
6,1,225,10548
6,1,250,10937
6,1,275,11289
6,1,300,11596
6,1,325,11882
6,1,350,12134
6,1,375,12368
6,1,400,12586
6,1,425,12775
6,1,450,12958
6,1,475,13124
6,1,500,13279
6,2,0,3067.2
6,2,25,5420.6
6,2,50,6259
6,2,75,6538
6,2,100,7540.2
6,2,125,8360.4
6,2,150,9046.8
6,2,175,9640.1
6,2,200,10145
6,2,225,10594
6,2,250,10986
6,2,275,11340
6,2,300,11650
6,2,325,11938
6,2,350,12192
6,2,375,12428
6,2,400,12648
6,2,425,12839
6,2,450,13023
6,2,475,13189
6,2,500,13346
8,0.02,0,12856
8,0.02,25,13831
8,0.02,50,14732
8,0.02,75,15584
8,0.02,100,16241
8,0.02,125,16805
8,0.02,150,17221
8,0.02,175,17549
8,0.02,200,17735
8,0.02,225,17821
8,0.02,250,18016
8,0.02,275,18064
8,0.02,300,17970
8,0.02,325,17942
8,0.02,350,18025
8,0.02,375,17810
8,0.02,400,17740
8,0.02,425,17862
8,0.02,450,17680
8,0.02,475,17717
8,0.02,500,17721
8,0.05,0,6392.9
8,0.05,25,8694.6
8,0.05,50,10625
8,0.05,75,12038
8,0.05,100,12885
8,0.05,125,13563
8,0.05,150,13995
8,0.05,175,14170
8,0.05,200,14229
8,0.05,225,14326
8,0.05,250,14618
8,0.05,275,14786
8,0.05,300,14843
8,0.05,325,14794
8,0.05,350,14643
8,0.05,375,15012
8,0.05,400,14720
8,0.05,425,15022
8,0.05,450,15305
8,0.05,475,14850
8,0.05,500,15083
8,0.1,0,3953.9
8,0.1,25,6694.8
8,0.1,50,8477.5
8,0.1,75,9546.1
8,0.1,100,10047
8,0.1,125,10412
8,0.1,150,10581
8,0.1,175,10868
8,0.1,200,11565
8,0.1,225,11491
8,0.1,250,12013
8,0.1,275,11630
8,0.1,300,12021
8,0.1,325,12382
8,0.1,350,11649
8,0.1,375,11918
8,0.1,400,12167
8,0.1,425,12400
8,0.1,450,12618
8,0.1,475,12823
8,0.1,500,13015
8,0.2,0,2774.2
8,0.2,25,5446
8,0.2,50,6580.2
8,0.2,75,7114.1
8,0.2,100,7939.4
8,0.2,125,8334
8,0.2,150,8321.7
8,0.2,175,8939.5
8,0.2,200,9488.6
8,0.2,225,8745.8
8,0.2,250,9107.4
8,0.2,275,9435
8,0.2,300,9733.7
8,0.2,325,10006
8,0.2,350,10256
8,0.2,375,10490
8,0.2,400,10704
8,0.2,425,10903
8,0.2,450,11089
8,0.2,475,11264
8,0.2,500,11427
8,0.5,0,2148.4
8,0.5,25,4293.1
8,0.5,50,4908.6
8,0.5,75,5744.4
8,0.5,100,5920.3
8,0.5,125,6635.4
8,0.5,150,7249.6
8,0.5,175,6167.4
8,0.5,200,6487.8
8,0.5,225,6772.1
8,0.5,250,7020.2
8,0.5,275,7244
8,0.5,300,7440
8,0.5,325,7622
8,0.5,350,7782.6
8,0.5,375,7931.7
8,0.5,400,8070.3
8,0.5,425,8190.8
8,0.5,450,8307.2
8,0.5,475,8412.3
8,0.5,500,8511
8,1,0,2060.6
8,1,25,3771.1
8,1,50,4070.8
8,1,75,5151.9
8,1,100,4947.6
8,1,125,5495.7
8,1,150,5955.3
8,1,175,6353.4
8,1,200,6692.7
8,1,225,6994.5
8,1,250,7258.2
8,1,275,7496.5
8,1,300,7705.1
8,1,325,7899.3
8,1,350,8070.7
8,1,375,8230
8,1,400,8378.2
8,1,425,8507
8,1,450,8631.5
8,1,475,8744
8,1,500,8849.8
8,2,0,2059.5
8,2,25,3641.5
8,2,50,4077.6
8,2,75,4290
8,2,100,4960.8
8,2,125,5511.6
8,2,150,5973.5
8,2,175,6373.7
8,2,200,6714.9
8,2,225,7018.5
8,2,250,7283.6
8,2,275,7523.3
8,2,300,7733.2
8,2,325,7928.6
8,2,350,8101
8,2,375,8261.3
8,2,400,8410.4
8,2,425,8540
8,2,450,8665.3
8,2,475,8778.5
8,2,500,8885
10,0.02,0,8793.5
10,0.02,25,9533.9
10,0.02,50,10224
10,0.02,75,10815
10,0.02,100,11344
10,0.02,125,11726
10,0.02,150,11974
10,0.02,175,12212
10,0.02,200,12339
10,0.02,225,12389
10,0.02,250,12395
10,0.02,275,12397
10,0.02,300,12432
10,0.02,325,12384
10,0.02,350,12421
10,0.02,375,12404
10,0.02,400,12335
10,0.02,425,12218
10,0.02,450,12255
10,0.02,475,12057
10,0.02,500,12035
10,0.05,0,4404.8
10,0.05,25,6004
10,0.05,50,7406.1
10,0.05,75,8330
10,0.05,100,9004.7
10,0.05,125,9354.6
10,0.05,150,9603.3
10,0.05,175,9854.6
10,0.05,200,9854
10,0.05,225,9881.2
10,0.05,250,10056
10,0.05,275,10141
10,0.05,300,10140
10,0.05,325,10059
10,0.05,350,10343
10,0.05,375,10149
10,0.05,400,10381
10,0.05,425,10085
10,0.05,450,10273
10,0.05,475,10449
10,0.05,500,10616
10,0.1,0,2751.8
10,0.1,25,4691.9
10,0.1,50,5919.7
10,0.1,75,6564.7
10,0.1,100,7015.4
10,0.1,125,7239.7
10,0.1,150,7313.4
10,0.1,175,7477.5
10,0.1,200,7958.4
10,0.1,225,7853.4
10,0.1,250,8210.1
10,0.1,275,7869.9
10,0.1,300,8132.7
10,0.1,325,8374.4
10,0.1,350,8597.6
10,0.1,375,8805.3
10,0.1,400,8104.3
10,0.1,425,8256.1
10,0.1,450,8397.9
10,0.1,475,8530.8
10,0.1,500,8655.9
10,0.2,0,1931.4
10,0.2,25,3808.6
10,0.2,50,4545.3
10,0.2,75,5093.9
10,0.2,100,5342.7
10,0.2,125,5527.4
10,0.2,150,6055.6
10,0.2,175,5776.2
10,0.2,200,6120.6
10,0.2,225,6428.9
10,0.2,250,6706.1
10,0.2,275,6957.9
10,0.2,300,7188.1
10,0.2,325,7398.4
10,0.2,350,7591.9
10,0.2,375,6377.8
10,0.2,400,6494.7
10,0.2,425,6605.3
10,0.2,450,6706.3
10,0.2,475,6801.5
10,0.2,500,6888.9
10,0.5,0,1543.8
10,0.5,25,2955.1
10,0.5,50,3235.8
10,0.5,75,3674.4
10,0.5,100,4309.6
10,0.5,125,4847.7
10,0.5,150,4270.5
10,0.5,175,4558.7
10,0.5,200,4804.4
10,0.5,225,5023
10,0.5,250,5214.1
10,0.5,275,5386.7
10,0.5,300,5538
10,0.5,325,5678.7
10,0.5,350,5803
10,0.5,375,5918.5
10,0.5,400,6025.9
10,0.5,425,6119.3
10,0.5,450,6209.6
10,0.5,475,6291.1
10,0.5,500,6367.9
10,1,0,1454.7
10,1,25,2571.4
10,1,50,2931.8
10,1,75,3120.7
10,1,100,3624.1
10,1,125,4039.6
10,1,150,4389.2
10,1,175,4693.1
10,1,200,4952.5
10,1,225,5183.9
10,1,250,5386.2
10,1,275,5569.3
10,1,300,5729.8
10,1,325,5879.3
10,1,350,6011.4
10,1,375,6134.3
10,1,400,6248.7
10,1,425,6348
10,1,450,6444.3
10,1,475,6531.2
10,1,500,6613.1
10,2,0,1454.1
10,2,25,2472.8
10,2,50,2936
10,2,75,3127.2
10,2,100,3632.7
10,2,125,4049.8
10,2,150,4401
10,2,175,4706.3
10,2,200,4967
10,2,225,5199.5
10,2,250,5402.8
10,2,275,5586.8
10,2,300,5748.1
10,2,325,5898.5
10,2,350,6031.2
10,2,375,6154.7
10,2,400,3650.1
10,2,425,3687.9
10,2,450,3720.3
10,2,475,3751.7
10,2,500,3777.8
12,0.02,0,6400.4
12,0.02,25,6992.5
12,0.02,50,7512.3
12,0.02,75,8021.1
12,0.02,100,8379.8
12,0.02,125,8692.9
12,0.02,150,8893.7
12,0.02,175,9014.8
12,0.02,200,9100.9
12,0.02,225,9121.3
12,0.02,250,9198.3
12,0.02,275,9185.5
12,0.02,300,9197.5
12,0.02,325,9143.6
12,0.02,350,9156.3
12,0.02,375,9125.7
12,0.02,400,9053.9
12,0.02,425,8943
12,0.02,450,8956.8
12,0.02,475,8949.9
12,0.02,500,8923.8
12,0.05,0,3205.5
12,0.05,25,4442.9
12,0.05,50,5493.7
12,0.05,75,6176.6
12,0.05,100,6617.2
12,0.05,125,6837.9
12,0.05,150,7098.9
12,0.05,175,7098.7
12,0.05,200,7218.5
12,0.05,225,7197.8
12,0.05,250,7298.4
12,0.05,275,7326.9
12,0.05,300,7594.3
12,0.05,325,7519.2
12,0.05,350,7383.1
12,0.05,375,7569.6
12,0.05,400,7347.6
12,0.05,425,7497.6
12,0.05,450,7638.6
12,0.05,475,7771
12,0.05,500,7430.7
12,0.1,0,2015.9
12,0.1,25,3475.3
12,0.1,50,4397.6
12,0.1,75,4881.4
12,0.1,100,5046.3
12,0.1,125,5336
12,0.1,150,5348.1
12,0.1,175,5433.4
12,0.1,200,5782.7
12,0.1,225,5653.5
12,0.1,250,5908
12,0.1,275,6140.1
12,0.1,300,5770.4
12,0.1,325,5938.3
12,0.1,350,6093.9
12,0.1,375,6237.8
12,0.1,400,6371.7
12,0.1,425,6496.5
12,0.1,450,6613.3
12,0.1,475,6723
12,0.1,500,5987.2
12,0.2,0,1432.1
12,0.2,25,2804.8
12,0.2,50,3335.3
12,0.2,75,3683.4
12,0.2,100,3780.4
12,0.2,125,4262.9
12,0.2,150,4181
12,0.2,175,4493.6
12,0.2,200,4771.6
12,0.2,225,5021.4
12,0.2,250,5246.6
12,0.2,275,4552.8
12,0.2,300,4691.6
12,0.2,325,4817.9
12,0.2,350,4933.1
12,0.2,375,5040.7
12,0.2,400,5137.3
12,0.2,425,5228.9
12,0.2,450,5312.6
12,0.2,475,5391.5
12,0.2,500,5464.1
12,0.5,0,1156.5
12,0.5,25,2164.1
12,0.5,50,2470.8
